drugName,drugPrescStat,price,manufNo,maxDosage,Disease
Myleran,P, 0000.0000,017065,200,Choroid plexus calcification with mental retardation
Purinethol,P, 0003.0642,014318,200,"Hemangioendothelioma, Epithelioid"
Daraprim,P, 0000.0000,015529,200,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 51"
Zincofax Display,O, 0000.0000,000000,200,Drachtman Weinblatt Sitarz syndrome
Privine 1:2000,O, 0000.0000,000000,200,Megalencephaly with Dysmyelination
Otrivin Nas Soln 0.1%,O, 0000.0000,000000,200,Hyaline Membrane Disease
Ismelin 10mg,P, 0000.0000,000000,200,Orofaciodigital syndrome 3
Ismelin 25mg,P, 0000.0000,000000,200,"PONTOCEREBELLAR HYPOPLASIA, TYPE 2D"
Apresoline Tablets, 10mg,P, 0000.0766,008892,200,"Lymphoid System Deterioration, Progressive"
Hydrodiuril Tab 25mg,O, 0000.0000,000000,200,Chorea
Serpasil 0.1mg,P, 0000.0000,007277,200,Capgras Syndrome
Serpasil 0.25mg,P, 0000.0000,007277,200,Carotid Artery Injuries
Pyribenzamine 50mg,O, 0000.0000,000000,200,"LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME"
Metandren 10mg,P, 0000.0000,007277,200,Inappropriate ADH Syndrome
Metandren 25mg,P, 0000.0000,007277,200,Ephemeral Fever
Locacorten .03%,P, 0000.0000,000000,200,"Hexosaminidase A Deficiency, Adult Type"
Oestrilin Creme Vaginale 1mg,P, 0000.0000,004028,200,GNATHODIAPHYSEAL DYSPLASIA
Oestrilin Cones Vaginaux,P, 0000.0000,004028,200,Neoplasm Micrometastasis
Oxsoralen Capsules 10mg,P, 0000.0000,000000,200,Kleefstra Syndrome
Oxsoralen Lotion 1%,P, 0000.0000,000000,200,"Nephroma, Mesoblastic"
Solaquin Crm 2%,O, 0000.0000,000000,200,Panniculitis
Imferon Inj 50mg/Ml,P, 0000.0000,000000,200,MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME
Choloxin Tablet 4mg,P, 0000.0000,000000,200,C1q DEFICIENCY
Ostoforte,P, 0000.0000,012250,200,Chondroblastoma
Fleet Enema,O, 0000.0000,007104,200,"Acrofacial dysostosis, Nager type"
Megacillin 500 Sus,P, 0000.0000,000000,200,Hereditary Diffuse Leukoencephalopathy with Spheroids
Periactin Syr 2mg/5ml,O, 0000.0000,000000,200,"Niemann-Pick Disease, Type B"
Propyl-Thyracil,P, 0000.0000,008481,200,Digestive System Abnormalities
Warfilone Tab 5mg,P, 0000.0715,000000,200,Leiomyoma
Entrophen 325mg Tablets,O, 0000.0292,011656,200,"Rolandic Epilepsy, Mental Retardation, And Speech Dyspraxia, Autosomal Dominant"
Sintrom,P, 0000.0000,008481,200,Paraganglioma
Tegretol 200mg,P, 0000.1584,007277,200,"Cataract, Crystalline Aculeiform"
Hygroton 50mg,P, 0000.1368,007277,200,Leukemia L5178
Hygroton 100mg,P, 0000.0000,000000,200,"FEBRILE SEIZURES, FAMILIAL, 11"
Pertofrane 25mg,P, 0000.4190,007277,200,Rectocele
Tofranil 10mg,P, 0000.1509,007277,200,Corneal Endothelial Cell Loss
Tofranil 50mg,P, 0000.5311,007277,200,Charcot-Marie-Tooth disease with ptosis and parkinsonism
Butazolidin Tab 100mg,P, 0000.0000,000000,200,"High serum cholesterol, familial"
Anturan 100mg,P, 0000.0000,007277,200,Retinitis Pigmentosa 29
Anturan 200mg,P, 0000.3302,007277,200,Microphthalmia associated with colobomatous cyst
Alka Butazolidin,P, 0000.0000,000000,200,HYPERGLYCINURIA
Betnovate 1/2 Crm 0.05%,P, 0000.0644,000000,200,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy"
Betnovate Crm 0.1%,P, 0000.1070,000000,200,Accutane embryopathy
Betnovate 1/2 Lot 0.05%,P, 0000.2983,000000,200,LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2
Betnovate Lot 0.1%,P, 0000.3458,000000,200,Foreign Bodies
Crystapen 1000000 I U,P, 0000.0000,004253,200,Drachtman Weinblatt Sitarz syndrome
Crystapen 5000000 I U,P, 0000.0000,004253,200,"Onychogryposis, Pedal, with Keratosis Plantaris and Coarse Hair"
Crystapen 10000000 I U,P, 0000.0000,004253,200,Pallister Killian syndrome
Aminophylline Inj 0.25gm,O, 0000.0000,004253,200,"Krabbe Disease, Atypical, due to Saposin A Deficiency"
Atropine Sulphate Inj 0.6mg/Ml,P, 0000.0000,004253,200,"Bulbo-Spinal Atrophy, X-Linked"
Gluconate Calcium Inj 10%,O, 0000.0000,004253,200,Foreign Bodies
Paraldehyde Inj 5ml,P, 0000.0000,004253,200,Ectoparasitic Infestations
Betnesol Eye And Ear Drops,P, 0000.0000,000000,200,Hypovolemia
Betnesol Retention Enemas,P, 0000.0000,000000,200,Lujan Fryns syndrome
Grisovin Fp Tab 125mg,P, 0000.0000,000000,200,Inappropriate ADH Syndrome
Grisovin Fp Tab 250mg,P, 0000.0000,000000,200,"Gingivitis, Necrotizing Ulcerative"
Grisovin Fp Tab 500mg,P, 0000.0000,000000,200,"Heavy Metal Poisoning, Nervous System"
Bacitracin Ont 500unit/Gm,O, 0000.0000,000000,200,Chromosome 18 Pericentric Inversion
Betnovate 1/2 Ont 0.05%,P, 0000.0644,000000,200,Moyamoya disease 3
Betnovate Ont 0.1%,P, 0000.0960,000000,200,"Alport syndrome, dominant type"
Reverin 275mg,P, 0000.0000,000000,200,Adrenoleukodystrophy
Diabeta 5mg,P, 0000.0000,000000,200,Calabro syndrome
Orinase 0.5gm,P, 0000.1200,000000,200,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3"
Orinase 1gm,P, 0000.0000,000000,200,"Prostate Cancer, Hereditary, 6"
Librium Cap 5mg,P, 0000.0748,004328,200,Bothnia Retinal Dystrophy
Librium Cap 10mg,P, 0000.1178,004328,200,"Lp(A) Deficiency, Congenital"
Librium Cap 25mg,P, 0000.1827,004328,200,"Cardiomyopathy, Familial Hypertrophic, 10"
Noludar 300mg,P, 0000.0000,004328,200,"Hyperinsulinemic hypoglycemia, familial, 3"
Matulane,P, 0000.0000,017281,200,Fused Kidney
Librium Inj 100mg,P, 0000.0000,004328,200,"EXOSTOSES, MULTIPLE, TYPE I"
Valium Inj Roche 5mg/Ml,P, 0002.6813,004328,200,"Diabetes Mellitus, Insulin-Dependent, 22"
Prostigmin (1:2000) 0.5mg,P, 0000.0000,004328,200,"Chylothorax, congenital"
Konakion Inj 1.0mg/0.5ml,O, 0000.0000,004328,200,"Rolandic Epilepsy, Mental Retardation, And Speech Dyspraxia, Autosomal Dominant"
Tensilon 10mg,P, 0000.0000,004328,200,"LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME"
Tarasan 15mg,P, 0000.0000,004328,200,"Dysfibrinogenemia, Congenital"
Valium 2 Tab,P, 0000.0549,004328,200,"Kidney Diseases, Cystic"
Valium 10 Tab,P, 0000.0000,004328,200,Choroid plexus calcification with mental retardation
Marplan 10mg,P, 0000.0000,004328,200,Connective Tissue Nevus
Larodopa Tab 0.25gm,P, 0000.0000,004328,200,Metabolic Syndrome
Larodopa Tab 0.5gm,P, 0000.0000,004328,200,"Rhinitis, Atrophic"
Synkavite 5.0mg,O, 0000.0000,004328,200,"Chromosome 1, monosomy 1q4"
Prostigmin 15mg,P, 0000.0000,004328,200,Branchio-Oto-Renal Syndrome
Gantanol Tab 500mg,P, 0000.0000,004328,200,"Nose Deformities, Acquired"
Solium 5 Mg,P, 0000.0748,000000,200,Mucocutaneous Lymph Node Syndrome
Solium 10 Mg,P, 0000.1178,000000,200,Navajo neurohepatopathy
Solium 25 Mg,P, 0000.1827,000000,200,MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA
Gravol Junior Suppositories 50mg,O, 0000.0000,003893,200,"Kidney Diseases, Cystic"
Gravol Comfort Shaped Suppositories,O, 0000.0000,003893,200,Prodromal Symptoms
Ovol Drops 40mg,O, 0000.0000,003893,200,Inappropriate ADH Syndrome
Atasol Forte Tab 500mg,O, 0000.0154,003893,200,HYPERGLYCINURIA
Gravol Easy To Swallow Tablets,O, 0000.0243,003893,200,Methylenetetrahydrofolate reductase deficiency
Diovol Tablets,O, 0000.0000,003893,200,Beta-Ureidopropionase Deficiency
Miltown Tablets 400mg,P, 0000.0000,000000,200,"GLAUCOMA 3, PRIMARY CONGENITAL, E"
Mobenol Tablets 500mg,P, 0000.1200,000000,200,"Hyperinsulinemic hypoglycemia, familial, 3"
Solazine 2 Mg,P, 0000.1936,000000,200,Chromosome 18 Pericentric Inversion
Solazine 5 Mg,P, 0000.2565,000000,200,"Deafness, Autosomal Recessive 68"
Solazine 10 Mg,P, 0000.3074,000000,200,Miles-Carpenter x-linked mental retardation syndrome
Aristocort R Crm 0.1%,P, 0000.0000,005208,200,Hyperhidrosis
Artane Elx 2mg/5ml,P, 0000.0000,000000,200,Frias syndrome
Diamox Sodium Inj 500mg,P, 0000.0000,000000,200,Retinitis Pigmentosa 29
Achromycin Im 250mg,P, 0000.0000,000000,200,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 24"
Achromycin Iv 500mg,P, 0000.0000,000000,200,"Osteolysis, Essential"
Leucovorin Calcium Inj 3mg/Ml,P, 0000.0000,000000,200,Glut1 Deficiency Syndrome
Aristocort Inj Intralesional 25mg/Ml,P, 0000.0000,005208,200,Balkan Nephropathy
Aristocort Forte Inj 40mg/Ml,P, 0005.9400,005208,200,Hashimoto-Pritzker syndrome
Nilstat Oral Dps 100000iu/Ml,P, 0000.0563,005208,200,"Hypogonadotropic hypogonadism and anosmia, autosomal dominant"
Aristocort Syr 2mg/5ml,P, 0000.0000,005208,200,Potter Type III Polycystic Kidney Disease
Diamox Tab 250mg,P, 0000.1363,000000,200,"MYOPIA 19, AUTOSOMAL DOMINANT"
Aminophylline Tab 0.1gm,P, 0000.0000,000000,200,"Purpura, Thrombocytopenic"
Aminophylline Tab 0.2gm,P, 0000.0000,000000,200,HYPERGLYCINURIA
Temposil Tab 50mg,P, 0000.0000,000000,200,Mastoiditis
Folvite Tab 5mg,P, 0000.0214,000000,200,C1q DEFICIENCY
Nilstat Orl Tab 500000unit,P, 0000.3240,005208,200,Pleural Neoplasms
Aquamox Tab 50mg,P, 0000.0000,000000,200,Rectocele
Aristocort Tab 2mg,P, 0000.0000,005208,200,"Cerebral palsy, spastic, diplegic"
Aristocort Tab 4mg,P, 0000.0000,005208,200,Ephemeral Fever
Artane Tab 2mg,P, 0000.0406,000000,200,"Leukocyte Nuclear Appendages, Hereditary Prevalence of"
Artane Tab 5mg,P, 0000.0735,000000,200,McKusick Kaufman syndrome
Aureomycin Ont Oph 1%,P, 0000.0000,000000,200,"Hyperinsulinemic Hypoglycemia, Familial, 4"
Achromycin Ont Oph 1%,P, 0000.0000,000000,200,"Dysfibrinogenemia, Congenital"
Aureomycin Ont 3%,P, 0000.0000,000000,200,Hyperexplexia hereditary
Achromycin Ont 3%,P, 0000.0000,000000,200,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 44"
Ilosone 250mg Pulvule 375,P, 0000.0000,007005,200,Pointer syndrome
Acidulin Pulvule 213 340mg,O, 0000.0000,007005,200,"Deafness, Sensorineural, with Hypertrophic Cardiomyopathy"
Aventyl,P, 0000.0000,014412,200,Foreign Bodies
Drenison 1/4 Cream 8 0.0125%,P, 0000.0000,007005,200,Choroid plexus calcification with mental retardation
Drenison Cream 0.05% No 11,P, 0000.0000,007005,200,"BERNARD-SOULIER SYNDROME, TYPE A2, AUTOSOMAL DOMINANT"
Keflin Neutral Inj 1gm,P, 0000.0000,007005,200,"CARDIOMYOPATHY, DILATED, 1KK"
Ilotycin Gluceptate Iv Ampoule 646 1gm,P, 0000.0000,007005,200,Anonychia-onychodystrophy with brachydactyly type B and ectrodactyly
Velbe 1mg/Ml,P, 0000.0000,007005,200,Alternating hemiplegia of childhood
Protamine Sulfate Ampoule 473 50mg/5ml,P, 0000.0000,007005,200,"Hemophagocytic lymphohistiocytosis, familial, 2"
Keflex,P, 0000.3439,011656,200,"AXENFELD-RIEGER SYNDROME, TYPE 3"
V Cillin K Pediatric 125mg/5ml,P, 0000.0000,007005,200,Navajo neurohepatopathy
Dimelor Tablet 1843 500mg,P, 0000.0000,007005,200,Immune System Diseases
Ergotrate Maleate Tablet 1572 0.2mg,P, 0000.0000,007005,200,Distal Osteosclerosis
Tapazole 5mg Tablet,P, 0000.0000,008481,200,Diabetic Cardiomyopathies
Niacin 100mg Tablet 1605,O, 0000.0000,007005,200,Marfanoid Habitus with Microcephaly and Glomerulonephritis
Nitroglycerin Tab 0.3mg,O, 0000.0000,007005,200,Mesonephroma
Nitroglycerin Tab 0.6mg,O, 0000.0000,007005,200,Posterior column ataxia
Ilotycin Cryst Op Ont 0.5% 52,P, 0003.1258,003574,200,Radius absent anogenital anomalies
Ilotycin 10mg/Gm Ointment,O, 0000.0000,007005,200,Macrophage Activation Syndrome
Drenison 1/4 Ointment 48 0.0125%,P, 0000.0000,007005,200,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5
Drenison Ointment 85 0.05%,P, 0000.0000,007005,200,Psoriasis
Indocid Cap 50mg,P, 0000.0000,000000,200,EPIDERMOLYSIS BULLOSA SIMPLEX WITH NAIL DYSTROPHY
Cuprimine,P, 0000.0000,011902,200,Distal Osteosclerosis
Mustargen,P, 0000.0000,014097,200,"Hyperkeratosis, Epidermolytic"
Cogentin Inj 1mg/Ml,P, 0010.2600,004662,200,"ARTHROGRYPOSIS, MENTAL RETARDATION, AND SEIZURES"
Aldomet Ester Hcl Inj,P, 0000.0000,000000,200,Pemphigoid Gestationis
Decadron Phosphate Eye Ear Sol 0.1%,P, 0000.0000,000000,200,Idiopathic basal ganglia calcification 1
Cortone Sus 50mg/Ml,P, 0000.0000,000000,200,HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 12
Elavil Tab 10mg,P, 0000.0470,000000,200,Chondroblastoma
Elavil Tab 25mg,P, 0000.0895,000000,200,Hearing Disorders
Elavil Tablet 50mg,P, 0000.1663,011356,200,Bleeding Disorder due to Defective Thromboxane A2 Receptor
Cogentin Tab 2mg,P, 0000.0657,000000,200,"ARTHROGRYPOSIS, MENTAL RETARDATION, AND SEIZURES"
Cortone Tab 5mg,P, 0000.0000,000000,200,"Deafness, Autosomal Recessive 68"
Decadron Tab 0.5mg,P, 0000.0845,000000,200,Foot Deformities
Hydrodiuril Tab 50mg,P, 0000.0234,000000,200,"Deafness, Autosomal Dominant 13"
Aldomet Tab 125mg,P, 0000.1090,000000,200,Macrophage Activation Syndrome
Aldomet Tab 250mg,P, 0000.1631,004662,200,Radius absent anogenital anomalies
Aldomet Tab 500mg,P, 0000.2795,000000,200,BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY
Benemid Tab 500mg,P, 0000.0000,000000,200,DEVELOPMENTAL DYSPLASIA OF THE HIP 1
Haldol Injection 5mg/Ml,P, 0005.2164,004570,200,"Adenocarcinoma, Clear Cell"
Haldol 0.5mg Tablets,P, 0000.1322,004570,200,Histrionic Personality Disorder
Haldol Tab 1.0mg,P, 0000.2125,004570,200,Out-of-Hospital Cardiac Arrest
Haldol Tab 2.0mg,P, 0000.3204,004570,200,"Dyskeratosis Congenita, Autosomal Recessive"
Haldol Tab 5.0mg,P, 0000.5267,004570,200,Cakut
Tace Cap 12mg,P, 0000.0000,000000,200,Metabolic Syndrome
Tace Cap 25mg,P, 0000.0000,000000,200,"LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME"
Bentylol Capsules 10mg,P, 0000.4536,000000,200,Aase Smith syndrome 2
Nadopen V Tab 500000iu,P, 0000.0000,006386,200,C1q DEFICIENCY
Neo Codema 25mg,P, 0000.0170,004735,200,"Chondrodysplasia, blomstrand type"
Neo Codema 50mg,P, 0000.0234,004735,200,"Deafness, Autosomal Dominant 13"
Neo Mens Tab,P, 0000.0000,004735,200,"LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME"
Teva-Ampicillin,P, 0000.0000,014318,200,Granddad Syndrome
Novo-Chlorocap Cap 250mg,P, 0000.0000,004773,200,Adrenoleukodystrophy
Vitamin A Cap 50000iu,P, 0000.0000,004773,200,"Parathyroid Glands, Agenesis Of"
Novo-Pen-Vk 500 Tab,P, 0000.0000,004773,200,Pseudotrisomy 13 syndrome
Novo-Pheniram,O, 0000.0000,014318,200,Kallmann Syndrome 2 with Bimanual Synkinesia
Novo-Chlorpromazine 200mg,P, 0000.0000,004773,200,Calabro syndrome
Teva-Dimenate,O, 0000.0000,014318,200,Contrecoup Injury
Novo-Ferrogluc Tab 300mg,O, 0000.0000,004773,200,"Charcot-Marie-Tooth disease, Type 2B2"
Teva-Hydrochlorothiazide,P, 0000.0000,014318,200,"Purpura, Thrombocytopenic"
Novo-Furan Tab 50mg,P, 0000.0000,004773,200,Neural crest tumor
Teva-Prednisone,P, 0000.0000,014318,200,"Heavy Metal Poisoning, Nervous System"
Novo-Reserpine Tab 0.25mg,P, 0000.0000,004773,200,Extravasation of Diagnostic and Therapeutic Materials
Novo-Soxazole 500mg,P, 0000.0000,004773,200,"Chromosome 10, trisomy 10pter p13"
Novo-Tetra 250mg,P, 0000.0000,004773,200,Neuromyelitis Optica
Novo-Trifluzine - Tab 5mg,P, 0000.0000,004773,200,Hypercapnia
Vitamin C 500mg,O, 0000.0000,004773,200,Equine Infectious Anemia
Maxibolin Tab 2mg,P, 0000.0000,004827,200,"DEAFNESS, AUTOSOMAL RECESSIVE 61"
Ortho-Novum 1/50 Tablets (21 Day),P, 0000.0000,007259,200,Distal Osteosclerosis
Ortho-Novum 0.5mg Tab,P, 0000.0000,000000,200,"Nephroma, Mesoblastic"
Ortho-Novum 2mg Tab,P, 0000.0000,000000,200,"GLAUCOMA 3, PRIMARY CONGENITAL, E"
Ortho-Novum 1/80 Tab,P, 0000.0000,000000,200,Pacman dysplasia
Chloromycetin Cap 250mg,P, 0000.0000,000000,200,Adenoameloblastoma
Dilantin,P, 0000.0000,004908,200,"Nose Deformities, Acquired"
Zarontin Cap 250mg,P, 0000.0000,009484,200,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"
Celontin Cap 300mg,P, 0000.0000,009484,200,Megalencephaly with Dysmyelination
Milontin Cap 500mg,P, 0000.0000,000000,200,Addison Disease
Chloromycetin Cream 1%,P, 0000.0000,000000,200,Drachtman Weinblatt Sitarz syndrome
Benadryl Inj 10mg/Ml,O, 0000.0000,000000,200,HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 12
Pitressin Tannate In Oil Inj 5unit/Ml,O, 0000.0000,000000,200,"Dysfibrinogenemia, Congenital"
Chloromycetin Palmitate Sus 125mg,P, 0000.0000,000000,200,Acute Disease
Dilantin-30 Suspension,P, 0000.0000,004908,200,Chills
Dilantin-125 Suspension,P, 0000.0404,004908,200,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"
Vanquin Sus 10mg/Ml,O, 0000.0000,000000,200,Chronic Kidney Disease-Mineral and Bone Disorder
Zarontin Syr 250mg/5ml,P, 0000.0000,009484,200,"MICROPHTHALMIA, ISOLATED 6"
Dilantin Infatabs,P, 0000.0000,004908,200,"Rhinitis, Allergic, Perennial"
Norlutate,P, 0000.0000,009484,200,Aminoacylase 1 deficiency
Novoprednisone 5mg,O, 0000.0000,000000,200,OPTIC ATROPHY 2
Thyroid Tab 30mg,P, 0000.0000,009484,200,GNATHODIAPHYSEAL DYSPLASIA
Thyroid Tab 60mg,P, 0000.0000,009484,200,"Mandibulofacial dysostosis, Treacher Collins type, autosomal recessive"
Thyroid Tab 125mg,P, 0000.0000,009484,200,Anaplasmataceae Infections
Norlestrin 1/50tab,P, 0000.0000,000000,200,Amaurosis hypertrichosis
Norlestrin 2.5/50tab,P, 0000.0000,000000,200,Addison Disease
Chloromycetin Oph Ont 1%,P, 0000.0000,000000,200,Otosclerosis 7
Zinc Ont 15%,O, 0000.0000,000000,200,Kallikrein hypertension
Sinequan,P, 0000.2589,014412,200,"Chromosome 1q, duplication 1q12 q21"
Vibramycin Cap 100mg,P, 0000.6329,004908,200,Frias syndrome
Atarax Cap 10mg,P, 0000.1205,009484,200,Pathologic Processes
Atarax Cap 25mg,P, 0000.1539,009484,200,Carotid Artery Injuries
