drugName,drugPrescStat,price,manufNo,maxDosage,disease,quantity
Jectofer 50 Mg/Ml,P, 0000.0000,009307,200,Microphthalmia associated with colobomatous cyst,2000
Xylocaine Oral Spray,O, 0000.0000,000000,200,Mandibular Injuries,2000
Penbritin Cap 250mg,P, 0000.4136,003691,200,AUTOIMMUNE INTERSTITIAL LUNG  JOINT  AND KIDNEY DISEASE,2000
Penbritin Cap 500mg,P, 0000.8392,003691,200,Chromosome 18 Pericentric Inversion,2000
Orbenin Cap 250mg,P, 0000.4067,003691,200,Kidney Diseases  Cystic,2000
Orbenin Cap 500mg,P, 0001.5120,003691,200,Hearing Loss  Unilateral,2000
Penbritin Inj 250mg,P, 0000.0000,003691,200,Factor VII Deficiency,2000
Penbritin Inj 2000mg,P, 0000.0000,003691,200,Hemangiomatosis  Disseminated,2000
Pyopen Inj 1gm,P, 0000.0000,003691,200,Hyaline Membrane Disease,2000
Orbenin Inj 250mg,P, 0000.0000,003691,200,Blue diaper syndrome,2000
Penicillin G Potassium Inj 1000000iu,P, 0000.0000,003691,200,Bleeding Disorder due to Defective Thromboxane A2 Receptor,2000
Penicillin G Potassium Inj 5000000iu,P, 0000.0000,003691,200,Oslam syndrome,2000
Penicillin G Potassium Inj 10000000iu,P, 0000.0000,003691,200,Hearing Disorders,2000
Penicillin G Sodium Inj 1000000iu,P, 0000.0000,003691,200,Brain Diseases,2000
Penicillin G Sodium Inj 5000000iu,P, 0000.0000,003691,200,Osteosclerosis,2000
Penicillin G Sodium Inj 10000000iu,P, 0000.0000,003691,200,Nidovirales Infections,2000
Protopam Chloride Inj 1gm,P, 0000.0000,003691,200,MENTAL RETARDATION  AUTOSOMAL RECESSIVE 38,2000
Premarin Inj 25mg/5ml,P, 0000.0000,003691,200,Hereditary Diffuse Leukoencephalopathy with Spheroids,2000
Inderal Inj 1mg,P, 0000.0000,003691,200,Faciocardiomelic Dysplasia  Lethal,2000
Phospholine Iodide Dps 6.25mg/5ml,P, 0000.0000,003691,200,Mental Retardation And Microcephaly With Pontine And Cerebellar Hypoplasia,2000
Phospholine Iodide Dps 12.5mg/5ml,P, 0000.0000,003691,200,Bulbo-Spinal Atrophy  X-Linked,2000
Ayercillin Suspension,P, 0000.0000,003691,200,Connective Tissue Nevus,2000
Penbritin Pws 125mg/5ml,P, 0000.0000,003691,200,MICROVASCULAR COMPLICATIONS OF DIABETES  SUSCEPTIBILITY TO  2,2000
Orbenin Pwr 125mg/5ml,P, 0000.1489,003691,200,DEVELOPMENTAL DYSPLASIA OF THE HIP 1,2000
Premarin Tab 0.625mg,P, 0000.0000,003691,200,Carbohydrate Metabolism  Inborn Errors,2000
Premarin Tab 2.5mg,P, 0000.0000,003691,200,Hypogonadotropic hypogonadism and anosmia  autosomal dominant,2000
Mysoline Tab 125mg,P, 0000.0609,003691,200,Carbohydrate Metabolism  Inborn Errors,2000
Inderal Tab 10mg,P, 0000.0796,003691,200,Diabetes Mellitus  Insulin-Dependent  22,2000
Inderal Tab 40mg,P, 0000.1416,003691,200,Neoplasm Micrometastasis,2000
Entacyl Granules 2.0gm,O, 0000.0000,000000,200,MENTAL HEALTH WELLNESS 2,2000
Ergometrine Inj 0.25mg,P, 0000.0000,000000,200,Kleefstra Syndrome,2000
Ergometrine Inj 0.5mg,P, 0000.0000,000000,200,BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY,2000
Radiostol Solution 100000iu/Ml,P, 0000.0000,000000,200,Atelosteogenesis type 2,2000
Radiostol Forte 300000iu,P, 0000.0000,000000,200,Amaurosis hypertrichosis,2000
Entacyl Susp 0.6gm/5ml,O, 0000.0000,000000,200,Krabbe Disease  Atypical  due to Saposin A Deficiency,2000
Carbachol Tab 2mg,P, 0000.0000,000000,200,Chorea,2000
Quinidine Sulphate Tab 200mg,O, 0000.0000,000000,200,MICROPHTHALMIA  ISOLATED 6,2000
Propaderm Ointment 0.025%,P, 0000.0000,000000,200,Bluetongue,2000
Dulcolax,O, 0000.0000,003617,200,Neuropathy ataxia and retinitis pigmentosa,2000
Alupent Tab 20mg,P, 0000.0000,003617,200,Cystitis  Interstitial,2000
Dynapen Cap 250mg,P, 0000.0000,003801,200,Nose Deformities  Acquired,2000
Ampicin For Injection 250mg,P, 0000.0000,003801,200,Navajo neurohepatopathy,2000
Ampicin Inj 1gm,P, 0000.0000,003801,200,Griscelli syndrome type 3,2000
Aerosporin Sterile Powder,P, 0000.0000,000000,200,Retrognathia,2000
Lanoxin Inj 0.05mg/Ml Pediatric,P, 0000.0000,000000,200,Encephalitis  Tick-Borne,2000
Lanoxin Inj 0.25mg/Ml,P, 0000.0000,000000,200,Brugada Syndrome 8,2000
Vasoxyl Inj 20mg/Ml,P, 0000.0000,000000,200,Acute Disease,2000
Sudafed Syr 30mg/5ml,O, 0000.0000,000000,200,Neoplasms  Fibrous Tissue,2000
Imuran,P, 0000.2597,017065,200,Encephalocele,2000
Myleran,P, 0000.0000,017065,200,Choroid plexus calcification with mental retardation,2000
Purinethol,P, 0003.0642,014318,200,Hemangioendothelioma  Epithelioid,2000
Daraprim,P, 0000.0000,015529,200,MENTAL RETARDATION  AUTOSOMAL RECESSIVE 51,2000
Zincofax Display,O, 0000.0000,000000,200,Drachtman Weinblatt Sitarz syndrome,2000
Privine 1:2000,O, 0000.0000,000000,200,Megalencephaly with Dysmyelination,2000
Otrivin Nas Soln 0.1%,O, 0000.0000,000000,200,Hyaline Membrane Disease,2000
Ismelin 10mg,P, 0000.0000,000000,200,Orofaciodigital syndrome 3,2000
Ismelin 25mg,P, 0000.0000,000000,200,PONTOCEREBELLAR HYPOPLASIA  TYPE 2D,2000
Hydrodiuril Tab 25mg,O, 0000.0000,000000,200,Chorea,2000
Serpasil 0.1mg,P, 0000.0000,007277,200,Capgras Syndrome,2000
Serpasil 0.25mg,P, 0000.0000,007277,200,Carotid Artery Injuries,2000
Pyribenzamine 50mg,O, 0000.0000,000000,200,LUNG DISEASE  IMMUNODEFICIENCY  AND CHROMOSOME BREAKAGE SYNDROME,2000
Metandren 10mg,P, 0000.0000,007277,200,Inappropriate ADH Syndrome,2000
Metandren 25mg,P, 0000.0000,007277,200,Ephemeral Fever,2000
Locacorten .03%,P, 0000.0000,000000,200,Hexosaminidase A Deficiency  Adult Type,2000
Oestrilin Creme Vaginale 1mg,P, 0000.0000,004028,200,GNATHODIAPHYSEAL DYSPLASIA,2000
Oestrilin Cones Vaginaux,P, 0000.0000,004028,200,Neoplasm Micrometastasis,2000
Oxsoralen Capsules 10mg,P, 0000.0000,000000,200,Kleefstra Syndrome,2000
Oxsoralen Lotion 1%,P, 0000.0000,000000,200,Nephroma  Mesoblastic,2000
Solaquin Crm 2%,O, 0000.0000,000000,200,Panniculitis,2000
Imferon Inj 50mg/Ml,P, 0000.0000,000000,200,MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME,2000
Choloxin Tablet 4mg,P, 0000.0000,000000,200,C1q DEFICIENCY,2000
Ostoforte,P, 0000.0000,012250,200,Chondroblastoma,2000
Fleet Enema,O, 0000.0000,007104,200,Acrofacial dysostosis  Nager type,2000
Megacillin 500 Sus,P, 0000.0000,000000,200,Hereditary Diffuse Leukoencephalopathy with Spheroids,2000
Periactin Syr 2mg/5ml,O, 0000.0000,000000,200,Niemann-Pick Disease  Type B,2000
Propyl-Thyracil,P, 0000.0000,008481,200,Digestive System Abnormalities,2000
Warfilone Tab 5mg,P, 0000.0715,000000,200,Leiomyoma,2000
Entrophen 325mg Tablets,O, 0000.0292,011656,200,Rolandic Epilepsy  Mental Retardation  And Speech Dyspraxia  Autosomal Dominant,2000
Sintrom,P, 0000.0000,008481,200,Paraganglioma,2000
Tegretol 200mg,P, 0000.1584,007277,200,Cataract  Crystalline Aculeiform,2000
Hygroton 50mg,P, 0000.1368,007277,200,Leukemia L5178,2000
Hygroton 100mg,P, 0000.0000,000000,200,FEBRILE SEIZURES  FAMILIAL  11,2000
Pertofrane 25mg,P, 0000.4190,007277,200,Rectocele,2000
Tofranil 10mg,P, 0000.1509,007277,200,Corneal Endothelial Cell Loss,2000
Tofranil 50mg,P, 0000.5311,007277,200,Charcot-Marie-Tooth disease with ptosis and parkinsonism,2000
Butazolidin Tab 100mg,P, 0000.0000,000000,200,High serum cholesterol  familial,2000
Anturan 100mg,P, 0000.0000,007277,200,Retinitis Pigmentosa 29,2000
Anturan 200mg,P, 0000.3302,007277,200,Microphthalmia associated with colobomatous cyst,2000
Alka Butazolidin,P, 0000.0000,000000,200,HYPERGLYCINURIA,2000
Betnovate 1/2 Crm 0.05%,P, 0000.0644,000000,200,CONGENITAL DISORDER OF GLYCOSYLATION  TYPE Iy,2000
Betnovate Crm 0.1%,P, 0000.1070,000000,200,Accutane embryopathy,2000
Betnovate 1/2 Lot 0.05%,P, 0000.2983,000000,200,LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2,2000
Betnovate Lot 0.1%,P, 0000.3458,000000,200,Foreign Bodies,2000
Crystapen 1000000 I U,P, 0000.0000,004253,200,Drachtman Weinblatt Sitarz syndrome,2000
Crystapen 5000000 I U,P, 0000.0000,004253,200,Onychogryposis  Pedal  with Keratosis Plantaris and Coarse Hair,2000
Crystapen 10000000 I U,P, 0000.0000,004253,200,Pallister Killian syndrome,2000
Aminophylline Inj 0.25gm,O, 0000.0000,004253,200,Krabbe Disease  Atypical  due to Saposin A Deficiency,2000
Atropine Sulphate Inj 0.6mg/Ml,P, 0000.0000,004253,200,Bulbo-Spinal Atrophy  X-Linked,2000
Gluconate Calcium Inj 10%,O, 0000.0000,004253,200,Foreign Bodies,2000
Paraldehyde Inj 5ml,P, 0000.0000,004253,200,Ectoparasitic Infestations,2000
Betnesol Eye And Ear Drops,P, 0000.0000,000000,200,Hypovolemia,2000
Betnesol Retention Enemas,P, 0000.0000,000000,200,Lujan Fryns syndrome,2000
Grisovin Fp Tab 125mg,P, 0000.0000,000000,200,Inappropriate ADH Syndrome,2000
Grisovin Fp Tab 250mg,P, 0000.0000,000000,200,Gingivitis  Necrotizing Ulcerative,2000
Grisovin Fp Tab 500mg,P, 0000.0000,000000,200,Heavy Metal Poisoning  Nervous System,2000
Bacitracin Ont 500unit/Gm,O, 0000.0000,000000,200,Chromosome 18 Pericentric Inversion,2000
Betnovate 1/2 Ont 0.05%,P, 0000.0644,000000,200,Moyamoya disease 3,2000
Betnovate Ont 0.1%,P, 0000.0960,000000,200,Alport syndrome  dominant type,2000
Reverin 275mg,P, 0000.0000,000000,200,Adrenoleukodystrophy,2000
Diabeta 5mg,P, 0000.0000,000000,200,Calabro syndrome,2000
Orinase 0.5gm,P, 0000.1200,000000,200,MICROVASCULAR COMPLICATIONS OF DIABETES  SUSCEPTIBILITY TO  3,2000
Orinase 1gm,P, 0000.0000,000000,200,Prostate Cancer  Hereditary  6,2000
Librium Cap 5mg,P, 0000.0748,004328,200,Bothnia Retinal Dystrophy,2000
Librium Cap 10mg,P, 0000.1178,004328,200,Lp(A) Deficiency  Congenital,2000
Librium Cap 25mg,P, 0000.1827,004328,200,Cardiomyopathy  Familial Hypertrophic  10,2000
Noludar 300mg,P, 0000.0000,004328,200,Hyperinsulinemic hypoglycemia  familial  3,2000
Matulane,P, 0000.0000,017281,200,Fused Kidney,2000
Librium Inj 100mg,P, 0000.0000,004328,200,EXOSTOSES  MULTIPLE  TYPE I,2000
Valium Inj Roche 5mg/Ml,P, 0002.6813,004328,200,Diabetes Mellitus  Insulin-Dependent  22,2000
Prostigmin (1:2000) 0.5mg,P, 0000.0000,004328,200,Chylothorax  congenital,2000
Konakion Inj 1.0mg/0.5ml,O, 0000.0000,004328,200,Rolandic Epilepsy  Mental Retardation  And Speech Dyspraxia  Autosomal Dominant,2000
Tensilon 10mg,P, 0000.0000,004328,200,LUNG DISEASE  IMMUNODEFICIENCY  AND CHROMOSOME BREAKAGE SYNDROME,2000
Tarasan 15mg,P, 0000.0000,004328,200,Dysfibrinogenemia  Congenital,2000
Valium 2 Tab,P, 0000.0549,004328,200,Kidney Diseases  Cystic,2000
Valium 10 Tab,P, 0000.0000,004328,200,Choroid plexus calcification with mental retardation,2000
Marplan 10mg,P, 0000.0000,004328,200,Connective Tissue Nevus,2000
Larodopa Tab 0.25gm,P, 0000.0000,004328,200,Metabolic Syndrome,2000
Larodopa Tab 0.5gm,P, 0000.0000,004328,200,Rhinitis  Atrophic,2000
Synkavite 5.0mg,O, 0000.0000,004328,200,Chromosome 1  monosomy 1q4,2000
Prostigmin 15mg,P, 0000.0000,004328,200,Branchio-Oto-Renal Syndrome,2000
Gantanol Tab 500mg,P, 0000.0000,004328,200,Nose Deformities  Acquired,2000
Solium 5 Mg,P, 0000.0748,000000,200,Mucocutaneous Lymph Node Syndrome,2000
Solium 10 Mg,P, 0000.1178,000000,200,Navajo neurohepatopathy,2000
Solium 25 Mg,P, 0000.1827,000000,200,MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA,2000
Gravol Junior Suppositories 50mg,O, 0000.0000,003893,200,Kidney Diseases  Cystic,2000
Gravol Comfort Shaped Suppositories,O, 0000.0000,003893,200,Prodromal Symptoms,2000
Ovol Drops 40mg,O, 0000.0000,003893,200,Inappropriate ADH Syndrome,2000
Atasol Forte Tab 500mg,O, 0000.0154,003893,200,HYPERGLYCINURIA,2000
Gravol Easy To Swallow Tablets,O, 0000.0243,003893,200,Methylenetetrahydrofolate reductase deficiency,2000
Diovol Tablets,O, 0000.0000,003893,200,Beta-Ureidopropionase Deficiency,2000
Miltown Tablets 400mg,P, 0000.0000,000000,200,GLAUCOMA 3  PRIMARY CONGENITAL  E,2000
Mobenol Tablets 500mg,P, 0000.1200,000000,200,Hyperinsulinemic hypoglycemia  familial  3,2000
Solazine 2 Mg,P, 0000.1936,000000,200,Chromosome 18 Pericentric Inversion,2000
Solazine 5 Mg,P, 0000.2565,000000,200,Deafness  Autosomal Recessive 68,2000
Solazine 10 Mg,P, 0000.3074,000000,200,Miles-Carpenter x-linked mental retardation syndrome,2000
Aristocort R Crm 0.1%,P, 0000.0000,005208,200,Hyperhidrosis,2000
Artane Elx 2mg/5ml,P, 0000.0000,000000,200,Frias syndrome,2000
Diamox Sodium Inj 500mg,P, 0000.0000,000000,200,Retinitis Pigmentosa 29,2000
Achromycin Im 250mg,P, 0000.0000,000000,200,EPILEPTIC ENCEPHALOPATHY  EARLY INFANTILE  24,2000
Achromycin Iv 500mg,P, 0000.0000,000000,200,Osteolysis  Essential,2000
Leucovorin Calcium Inj 3mg/Ml,P, 0000.0000,000000,200,Glut1 Deficiency Syndrome,2000
Aristocort Inj Intralesional 25mg/Ml,P, 0000.0000,005208,200,Balkan Nephropathy,2000
Aristocort Forte Inj 40mg/Ml,P, 0005.9400,005208,200,Hashimoto-Pritzker syndrome,2000
Nilstat Oral Dps 100000iu/Ml,P, 0000.0563,005208,200,Hypogonadotropic hypogonadism and anosmia  autosomal dominant,2000
Aristocort Syr 2mg/5ml,P, 0000.0000,005208,200,Potter Type III Polycystic Kidney Disease,2000
Diamox Tab 250mg,P, 0000.1363,000000,200,MYOPIA 19  AUTOSOMAL DOMINANT,2000
Aminophylline Tab 0.1gm,P, 0000.0000,000000,200,Purpura  Thrombocytopenic,2000
Aminophylline Tab 0.2gm,P, 0000.0000,000000,200,HYPERGLYCINURIA,2000
Temposil Tab 50mg,P, 0000.0000,000000,200,Mastoiditis,2000
Folvite Tab 5mg,P, 0000.0214,000000,200,C1q DEFICIENCY,2000
Nilstat Orl Tab 500000unit,P, 0000.3240,005208,200,Pleural Neoplasms,2000
Aquamox Tab 50mg,P, 0000.0000,000000,200,Rectocele,2000
Aristocort Tab 2mg,P, 0000.0000,005208,200,Cerebral palsy  spastic  diplegic,2000
Aristocort Tab 4mg,P, 0000.0000,005208,200,Ephemeral Fever,2000
Artane Tab 2mg,P, 0000.0406,000000,200,Leukocyte Nuclear Appendages  Hereditary Prevalence of,2000
Artane Tab 5mg,P, 0000.0735,000000,200,McKusick Kaufman syndrome,2000
Aureomycin Ont Oph 1%,P, 0000.0000,000000,200,Hyperinsulinemic Hypoglycemia  Familial  4,2000
Achromycin Ont Oph 1%,P, 0000.0000,000000,200,Dysfibrinogenemia  Congenital,2000
Aureomycin Ont 3%,P, 0000.0000,000000,200,Hyperexplexia hereditary,2000
Achromycin Ont 3%,P, 0000.0000,000000,200,EPILEPTIC ENCEPHALOPATHY  EARLY INFANTILE  44,2000
Ilosone 250mg Pulvule 375,P, 0000.0000,007005,200,Pointer syndrome,2000
Acidulin Pulvule 213 340mg,O, 0000.0000,007005,200,Deafness  Sensorineural  with Hypertrophic Cardiomyopathy,2000
Aventyl,P, 0000.0000,014412,200,Foreign Bodies,2000
Drenison 1/4 Cream 8 0.0125%,P, 0000.0000,007005,200,Choroid plexus calcification with mental retardation,2000
Drenison Cream 0.05% No 11,P, 0000.0000,007005,200,BERNARD-SOULIER SYNDROME  TYPE A2  AUTOSOMAL DOMINANT,2000
Keflin Neutral Inj 1gm,P, 0000.0000,007005,200,CARDIOMYOPATHY  DILATED  1KK,2000
Ilotycin Gluceptate Iv Ampoule 646 1gm,P, 0000.0000,007005,200,Anonychia-onychodystrophy with brachydactyly type B and ectrodactyly,2000
Velbe 1mg/Ml,P, 0000.0000,007005,200,Alternating hemiplegia of childhood,2000
Protamine Sulfate Ampoule 473 50mg/5ml,P, 0000.0000,007005,200,Hemophagocytic lymphohistiocytosis  familial  2,2000
Keflex,P, 0000.3439,011656,200,AXENFELD-RIEGER SYNDROME  TYPE 3,2000
V Cillin K Pediatric 125mg/5ml,P, 0000.0000,007005,200,Navajo neurohepatopathy,2000
Dimelor Tablet 1843 500mg,P, 0000.0000,007005,200,Immune System Diseases,2000
Ergotrate Maleate Tablet 1572 0.2mg,P, 0000.0000,007005,200,Distal Osteosclerosis,2000
Tapazole 5mg Tablet,P, 0000.0000,008481,200,Diabetic Cardiomyopathies,2000
Niacin 100mg Tablet 1605,O, 0000.0000,007005,200,Marfanoid Habitus with Microcephaly and Glomerulonephritis,2000
Nitroglycerin Tab 0.3mg,O, 0000.0000,007005,200,Mesonephroma,2000
Nitroglycerin Tab 0.6mg,O, 0000.0000,007005,200,Posterior column ataxia,2000
Ilotycin Cryst Op Ont 0.5% 52,P, 0003.1258,003574,200,Radius absent anogenital anomalies,2000
Ilotycin 10mg/Gm Ointment,O, 0000.0000,007005,200,Macrophage Activation Syndrome,2000
Drenison 1/4 Ointment 48 0.0125%,P, 0000.0000,007005,200,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5,2000
Drenison Ointment 85 0.05%,P, 0000.0000,007005,200,Psoriasis,2000
Indocid Cap 50mg,P, 0000.0000,000000,200,EPIDERMOLYSIS BULLOSA SIMPLEX WITH NAIL DYSTROPHY,2000
Cuprimine,P, 0000.0000,011902,200,Distal Osteosclerosis,2000
Mustargen,P, 0000.0000,014097,200,Hyperkeratosis  Epidermolytic,2000
Cogentin Inj 1mg/Ml,P, 0010.2600,004662,200,ARTHROGRYPOSIS  MENTAL RETARDATION  AND SEIZURES,2000
Aldomet Ester Hcl Inj,P, 0000.0000,000000,200,Pemphigoid Gestationis,2000
Decadron Phosphate Eye Ear Sol 0.1%,P, 0000.0000,000000,200,Idiopathic basal ganglia calcification 1,2000
Cortone Sus 50mg/Ml,P, 0000.0000,000000,200,HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 12,2000
Elavil Tab 10mg,P, 0000.0470,000000,200,Chondroblastoma,2000
Elavil Tab 25mg,P, 0000.0895,000000,200,Hearing Disorders,2000
Elavil Tablet 50mg,P, 0000.1663,011356,200,Bleeding Disorder due to Defective Thromboxane A2 Receptor,2000
Cogentin Tab 2mg,P, 0000.0657,000000,200,ARTHROGRYPOSIS  MENTAL RETARDATION  AND SEIZURES,2000
Cortone Tab 5mg,P, 0000.0000,000000,200,Deafness  Autosomal Recessive 68,2000
Decadron Tab 0.5mg,P, 0000.0845,000000,200,Foot Deformities,2000
Hydrodiuril Tab 50mg,P, 0000.0234,000000,200,Deafness  Autosomal Dominant 13,2000
Aldomet Tab 125mg,P, 0000.1090,000000,200,Macrophage Activation Syndrome,2000
Aldomet Tab 250mg,P, 0000.1631,004662,200,Radius absent anogenital anomalies,2000
Aldomet Tab 500mg,P, 0000.2795,000000,200,BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY,2000
Benemid Tab 500mg,P, 0000.0000,000000,200,DEVELOPMENTAL DYSPLASIA OF THE HIP 1,2000
Haldol Injection 5mg/Ml,P, 0005.2164,004570,200,Adenocarcinoma  Clear Cell,2000
Haldol 0.5mg Tablets,P, 0000.1322,004570,200,Histrionic Personality Disorder,2000
Haldol Tab 1.0mg,P, 0000.2125,004570,200,Out-of-Hospital Cardiac Arrest,2000
Haldol Tab 2.0mg,P, 0000.3204,004570,200,Dyskeratosis Congenita  Autosomal Recessive,2000
Haldol Tab 5.0mg,P, 0000.5267,004570,200,Cakut,2000
Tace Cap 12mg,P, 0000.0000,000000,200,Metabolic Syndrome,2000
Tace Cap 25mg,P, 0000.0000,000000,200,LUNG DISEASE  IMMUNODEFICIENCY  AND CHROMOSOME BREAKAGE SYNDROME,2000
Bentylol Capsules 10mg,P, 0000.4536,000000,200,Aase Smith syndrome 2,2000
Nadopen V Tab 500000iu,P, 0000.0000,006386,200,C1q DEFICIENCY,2000
Neo Codema 25mg,P, 0000.0170,004735,200,Chondrodysplasia  blomstrand type,2000
Neo Codema 50mg,P, 0000.0234,004735,200,Deafness  Autosomal Dominant 13,2000
Neo Mens Tab,P, 0000.0000,004735,200,LUNG DISEASE  IMMUNODEFICIENCY  AND CHROMOSOME BREAKAGE SYNDROME,2000
Teva-Ampicillin,P, 0000.0000,014318,200,Granddad Syndrome,2000
Novo-Chlorocap Cap 250mg,P, 0000.0000,004773,200,Adrenoleukodystrophy,2000
Vitamin A Cap 50000iu,P, 0000.0000,004773,200,Parathyroid Glands  Agenesis Of,2000
Novo-Pen-Vk 500 Tab,P, 0000.0000,004773,200,Pseudotrisomy 13 syndrome,2000
Novo-Pheniram,O, 0000.0000,014318,200,Kallmann Syndrome 2 with Bimanual Synkinesia,2000
Novo-Chlorpromazine 200mg,P, 0000.0000,004773,200,Calabro syndrome,2000
Teva-Dimenate,O, 0000.0000,014318,200,Contrecoup Injury,2000
Novo-Ferrogluc Tab 300mg,O, 0000.0000,004773,200,Charcot-Marie-Tooth disease  Type 2B2,2000
Teva-Hydrochlorothiazide,P, 0000.0000,014318,200,Purpura  Thrombocytopenic,2000
Novo-Furan Tab 50mg,P, 0000.0000,004773,200,Neural crest tumor,2000
Teva-Prednisone,P, 0000.0000,014318,200,Heavy Metal Poisoning  Nervous System,2000
Novo-Reserpine Tab 0.25mg,P, 0000.0000,004773,200,Extravasation of Diagnostic and Therapeutic Materials,2000
Novo-Soxazole 500mg,P, 0000.0000,004773,200,Chromosome 10  trisomy 10pter p13,2000
Novo-Tetra 250mg,P, 0000.0000,004773,200,Neuromyelitis Optica,2000
Novo-Trifluzine - Tab 5mg,P, 0000.0000,004773,200,Hypercapnia,2000
Vitamin C 500mg,O, 0000.0000,004773,200,Equine Infectious Anemia,2000
Maxibolin Tab 2mg,P, 0000.0000,004827,200,DEAFNESS  AUTOSOMAL RECESSIVE 61,2000
Ortho-Novum 1/50 Tablets (21 Day),P, 0000.0000,007259,200,Distal Osteosclerosis,2000
Ortho-Novum 0.5mg Tab,P, 0000.0000,000000,200,Nephroma  Mesoblastic,2000
Ortho-Novum 2mg Tab,P, 0000.0000,000000,200,GLAUCOMA 3  PRIMARY CONGENITAL  E,2000
Ortho-Novum 1/80 Tab,P, 0000.0000,000000,200,Pacman dysplasia,2000
Chloromycetin Cap 250mg,P, 0000.0000,000000,200,Adenoameloblastoma,2000
Dilantin,P, 0000.0000,004908,200,Nose Deformities  Acquired,2000
Zarontin Cap 250mg,P, 0000.0000,009484,200,Congenital Lipomatous Overgrowth  Vascular Malformations  and Epidermal Nevi,2000
Celontin Cap 300mg,P, 0000.0000,009484,200,Megalencephaly with Dysmyelination,2000
Milontin Cap 500mg,P, 0000.0000,000000,200,Addison Disease,2000
Chloromycetin Cream 1%,P, 0000.0000,000000,200,Drachtman Weinblatt Sitarz syndrome,2000
Benadryl Inj 10mg/Ml,O, 0000.0000,000000,200,HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 12,2000
Pitressin Tannate In Oil Inj 5unit/Ml,O, 0000.0000,000000,200,Dysfibrinogenemia  Congenital,2000
Chloromycetin Palmitate Sus 125mg,P, 0000.0000,000000,200,Acute Disease,2000
Dilantin-30 Suspension,P, 0000.0000,004908,200,Chills,2000
Dilantin-125 Suspension,P, 0000.0404,004908,200,Congenital Lipomatous Overgrowth  Vascular Malformations  and Epidermal Nevi,2000
Vanquin Sus 10mg/Ml,O, 0000.0000,000000,200,Chronic Kidney Disease-Mineral and Bone Disorder,2000
Zarontin Syr 250mg/5ml,P, 0000.0000,009484,200,MICROPHTHALMIA  ISOLATED 6,2000
