Blue diaper syndrome,MESH:C536239,,,MESH:D000592|MESH:D005124|MESH:D006934|MESH:D007674,C11.250/C536239|C12.777.419/C536239|C13.351.968.419/C536239|C16.131.384/C536239|C16.320.565.100/C536239|C18.452.174.451/C536239|C18.452.648.100/C536239|C18.452.950.340/C536239,C11.250|C12.777.419|C13.351.968.419|C16.131.384|C16.320.565.100|C18.452.174.451|C18.452.648.100|C18.452.950.340,"Hypercalcemia, familial, with nephrocalcinosis and indicanuria",Congenital abnormality|Eye disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)
Capgras Syndrome,MESH:D002194,DO:DOID:6680,A psychotic disorder characterized by the patient's belief that acquaintances or closely related persons have been replaced by doubles or imposters.,MESH:D019967,F03.700.300,F03.700,"Syndrome, Capgras",Mental disorder
Leukemia L5178,MESH:D007940,,An experimental lymphocytic leukemia of mice.,MESH:D007942,C04.557.337.372.602|C04.619.531.602,C04.557.337.372|C04.619.531,"L5178, Leukemia|L5178, Lymphoma|Lymphoma L5178",Cancer
"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 45",OMIM:615979,,,MESH:D008607,C10.597.606.643/615979|C23.888.592.604.646/615979|F03.625.539/615979,C10.597.606.643|C23.888.592.604.646|F03.625.539,MRT45,Mental disorder|Nervous system disease|Signs and symptoms
Glut1 Deficiency Syndrome,MESH:C536830,OMIM:606777,,MESH:D002239,C16.320.565.202/C536830|C18.452.648.202/C536830,C16.320.565.202|C18.452.648.202,"De Vivo disease|Encephalopathy Due To Glut1 Deficiency|Glucose transport defect, blood-brain barrier|GLUCOSE TRANSPORT DEFECT, BLOOD-BRAIN BARRIER  GLUT1 DEFICIENCY SYNDROME 1, AUTOSOMAL RECESSIVE, INCLUDED|Glucose Transporter Protein Syndrome|Glucose Transporter Type 1 Deficiency Syndrome|Glucose transporter type1 (GLUT-1) deficiency|GLUT-1 deficiency syndrome|GLUT1 DEFICIENCY SYNDROME 1|GLUT1DS1",Genetic disease (inborn)|Metabolic disease
Major Affective Disorder 2,MESH:C564108,OMIM:309200,,MESH:D001714|MESH:D040181,C16.320.322/C564108|F03.084.500/C564108,C16.320.322|F03.084.500,"BIPOLAR AFFECTIVE DISORDER|BPAD|MAFD2|Manic-Depressive Illness|Manic-Depressive Psychosis, X-Linked|MDI|MDX",Genetic disease (inborn)|Mental disorder
Contrecoup Injury,MESH:D056886,,An injury in which the damage is located on the opposite side of the primary impact site. A blow to the back of head which results in contrecoup injury to the frontal lobes of the brain is the most common type.,MESH:D001924|MESH:D014947,C10.900.300.350.300.250|C26.224|C26.915.300.450.500.250|C26.974.382.200.250,C10.900.300.350.300|C26|C26.915.300.450.500|C26.974.382.200,"Contre-coup Injuries|Contrecoup Injuries|Contre coup Injury|Contre-coup Injury|Injuries, Contrecoup|Injuries, Contre-coup|Injury, Contrecoup|Injury, Contre-coup",Nervous system disease|Wounds and injuries
Beta-Ureidopropionase Deficiency,MESH:C563210,OMIM:613161,,MESH:D000015|MESH:D001927|MESH:D009069|MESH:D011686,C10.228.140/C563210|C10.228.662/C563210|C16.131.077/C563210|C16.320.565.798/C563210|C18.452.648.798/C563210,C10.228.140|C10.228.662|C16.131.077|C16.320.565.798|C18.452.648.798,UPB1D,Congenital abnormality|Genetic disease (inborn)|Metabolic disease|Nervous system disease
Chills,MESH:D023341,,The sudden sensation of being cold. It may be accompanied by SHIVERING.,MESH:D012816,C23.888.208,C23.888,,Signs and symptoms
"Bulbo-Spinal Atrophy, X-Linked",MESH:D055534,DO:DOID:0060161,An X-linked recessive form of spinal muscular atrophy. It is due to a mutation of the gene encoding the ANDROGEN RECEPTOR.,MESH:D009134|MESH:D020271|MESH:D040181,C10.228.854.468.399|C10.574.500.175|C10.574.562.500.374|C10.668.467.500.186|C16.320.322.076,C10.228.854.468|C10.574.500|C10.574.562.500|C10.668.467.500|C16.320.322,"Atrophies, X-Linked Bulbo-Spinal|Atrophy, X-Linked Bulbo-Spinal|Bulbo-Spinal Atrophies, X-Linked|Bulbo Spinal Atrophy, X Linked|Bulbospinal Muscular Atrophy, X linked|Bulbospinal Muscular Atrophy, X-linked|Disease, Kennedy|Disease, Kennedy's|Kennedy Disease|Kennedy's Disease|Kennedys Disease|Kennedy Spinal and Bulbar Muscular Atrophy|Kennedy Syndrome|Spinal And Bulbar Muscular Atrophy, X Linked 1|Spinal And Bulbar Muscular Atrophy, X-Linked 1|Syndrome, Kennedy|X-Linked Bulbo-Spinal Atrophies|X Linked Bulbo Spinal Atrophy|X-Linked Bulbo-Spinal Atrophy|X linked Bulbospinal Muscular Atrophy|X-linked Bulbospinal Muscular Atrophy|X Linked Spinal and Bulbar Muscular Atrophy|X-Linked Spinal and Bulbar Muscular Atrophy",Genetic disease (inborn)|Nervous system disease
Paraganglioma,MESH:D010235,DO:DOID:0050773|OMIM:168000,"A neural crest tumor usually derived from the chromoreceptor tissue of a paraganglion, such as the carotid body, or medulla of the adrenal gland (usually called a chromaffinoma or pheochromocytoma). It is more common in women than in men. (Stedman, 25th ed; from Segen, Dictionary of Modern Medicine, 1992)",MESH:D018358,C04.557.465.625.650.700|C04.557.580.625.650.700,C04.557.465.625.650|C04.557.580.625.650,"CAROTID BODY TUMORS|CBT1|CHEMODECTOMAS|Gangliocytic Paraganglioma|Gangliocytic Paragangliomas|GLOMUS JUGULARE TUMORS|GLOMUS TUMORS, FAMILIAL, 1|PARAGANGLIOMA, CAROTID BODY|Paraganglioma, Gangliocytic|Paragangliomas|Paragangliomas 1|Paragangliomas, Familial, 1|PARAGANGLIOMAS, FAMILIAL NONCHROMAFFIN, 1 PARAGANGLIOMAS WITH SENSORINEURAL HEARING LOSS, INCLUDED|Paragangliomas, Gangliocytic|Paragangliomata|PGL|PGL1",Cancer
"PROTHROMBIN DEFICIENCY, CONGENITAL",OMIM:613679,DO:DOID:2235,,MESH:D007020,C15.378.100.100.550/613679|C15.378.100.141.550/613679|C15.378.463.550/613679|C16.320.099.550/613679,C15.378.100.100.550|C15.378.100.141.550|C15.378.463.550|C16.320.099.550,"HYPOPROTHROMBINEMIA DYSPROTHROMBINEMIA, INCLUDED",Blood disease|Genetic disease (inborn)
"Hearing Loss, Unilateral",MESH:D046088,,Partial or complete hearing loss in one ear.,MESH:D034381,C09.218.458.341.950|C10.597.751.418.341.950|C23.888.592.763.393.341.950,C09.218.458.341|C10.597.751.418.341|C23.888.592.763.393.341,"Deafness, Unilateral|Unilateral Deafness|Unilateral Hearing Loss",Ear-nose-throat disease|Nervous system disease|Signs and symptoms
Aminoacylase 1 deficiency,MESH:C538246,OMIM:609924,,MESH:D000592,C16.320.565.100/C538246|C18.452.648.100/C538246,C16.320.565.100|C18.452.648.100,ACY1D|Deficiency of the aminoacylase-1 enzyme,Genetic disease (inborn)|Metabolic disease
Legg-Calve-Perthes Disease,MESH:D007873,DO:DOID:14415|OMIM:150600,"A particular type of FEMUR HEAD NECROSIS occurring in children, mainly male, with a course of four years or so.",MESH:D005271,C05.116.852.175.570,C05.116.852.175,"Coxa Plana|Disease, Legg-Calve-Perthes|Disease, Legg-Calvé-Perthes|Disease, Legg-Perthes|Disease, Perthes|LCP|LCPD|Legg Calve Perthes Disease|Legg Calvé Perthes Disease|Legg-Calvé-Perthes Disease|Legg Calve Perthes Syndrome|Legg-Calve-Perthes Syndrome|Legg Calvé Perthes Syndrome|Legg-Calvé-Perthes Syndrome|Legg Perthes Disease|Legg-Perthes Disease|Osteochondritis Deforman|Osteochondritis Deformans|Perthes Disease|Syndrome, Legg-Calve-Perthes|Syndrome, Legg-Calvé-Perthes",Musculoskeletal disease
"Cataract, Crystalline Aculeiform",MESH:C566162,,,MESH:D002386,C11.510.245/C566162,C11.510.245,"Cataract, Aculeiform",Eye disease
Histrionic Personality Disorder,MESH:D006677,DO:DOID:334,"A personality disorder characterized by overly reactive and intensely expressed or overly dramatic behavior, proneness to exaggeration, emotional excitability, and disturbances in interpersonal relationships.",MESH:D010554,F03.675.400,F03.675,"Disorder, Histrionic Personality|Disorders, Histrionic Personality|Histrionic Personality Disorders|Hysterical Personalities|Hysterical Personality|Personalities, Hysterical|Personality Disorder, Histrionic|Personality Disorders, Histrionic|Personality, Hysterical",Mental disorder
"Retinoschisis, Autosomal Dominant",MESH:C000598640,,,MESH:D041441,C11.768.585.865/C000598640,C11.768.585.865,Autosomal dominant retinoschisis|Retinoschisis autosomal dominant,Eye disease
"Lymphoid System Deterioration, Progressive",MESH:C565430,,,MESH:D007153,C20.673/C565430,C20.673,,Immune system disease
Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,DO:DOID:13068,"Decalcification of bone or abnormal bone development due to chronic KIDNEY DISEASES, in which 1,25-DIHYDROXYVITAMIN D3 synthesis by the kidneys is impaired, leading to reduced negative feedback on PARATHYROID HORMONE. The resulting SECONDARY HYPERPARATHYROIDISM eventually leads to bone disorders.",MESH:D006962|MESH:D007674|MESH:D012279,C05.116.198.816.750|C12.777.419.795|C13.351.968.419.795|C18.452.104.816.750|C18.452.174.845.750|C18.654.521.500.133.770.734.750|C19.642.355.480.500,C05.116.198.816|C12.777.419|C13.351.968.419|C18.452.104.816|C18.452.174.845|C18.654.521.500.133.770.734|C19.642.355.480,"Chronic Kidney Disease Mineral and Bone Disorder|CKD-MBD|Osteodystrophies, Renal|Osteodystrophy, Renal|Renal Osteodystrophies|Renal Osteodystrophy|Renal Rickets|Rickets, Renal",Endocrine system disease|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)
Autolysis,MESH:D001329,,The spontaneous disintegration of tissues or cells by the action of their own autogenous enzymes.,MESH:D011180,C23.550.260.224.617.236,C23.550.260.224.617,Autolyses,Pathology (process)
Neuropathy ataxia and retinitis pigmentosa,MESH:C537396,OMIM:551500,,MESH:D012174|MESH:D017240,C05.651.460/C537396|C10.668.491.500/C537396|C11.270.684/C537396|C11.768.585.658.500/C537396|C16.320.290.684/C537396|C18.452.660.560/C537396,C05.651.460|C10.668.491.500|C11.270.684|C11.768.585.658.500|C16.320.290.684|C18.452.660.560,"NARP syndrome|Neurogenic Muscle Weakness, Ataxia, and Retinitis Pigmentosa|Neuropathy, Ataxia, and Retinitis Pigmentosa|Neuropathy, Ataxia, Retinitis Pigmentosa syndrome",Eye disease|Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nervous system disease
Gonorrhea,MESH:D006069,DO:DOID:7551,"Acute infectious disease characterized by primary invasion of the urogenital tract. The etiologic agent, NEISSERIA GONORRHOEAE, was isolated by Neisser in 1879.",MESH:D015231|MESH:D016870,C01.252.400.625.391|C01.252.810.401|C01.539.778.281.401|C12.294.668.281.401|C13.351.500.711.281.401,C01.252.400.625|C01.252.810|C01.539.778.281|C12.294.668.281|C13.351.500.711.281,"Gonorrheas|Infection, Neisseria gonorrhoeae|Infections, Neisseria gonorrhoeae|Neisseria gonorrhoeae Infection|Neisseria gonorrhoeae Infections",Bacterial infection or mycosis|Urogenital disease (female)|Urogenital disease (male)
Bronchial Diseases,MESH:D001982,DO:DOID:1176,Diseases involving the BRONCHI.,MESH:D012140,C08.127,C08,"Bronchial Disease|Disease, Bronchial|Diseases, Bronchial",Respiratory tract disease
Miles-Carpenter x-linked mental retardation syndrome,MESH:C537472,DO:DOID:0060815,,MESH:D038901,C10.597.606.643.455/C537472|C16.320.322.500/C537472|C16.320.400.525/C537472,C10.597.606.643.455|C16.320.322.500|C16.320.400.525,"Mental retardation, X-linked, syndromic 4|Mental Retardation, X-Linked, with Congenital Contractures and Low Fingertip Arches",Genetic disease (inborn)|Nervous system disease
Oculoauricular Syndrome,MESH:C567416,DO:DOID:0060482|OMIM:612109,,MESH:D005124,C11.250/C567416|C16.131.384/C567416,C11.250|C16.131.384,"MICROPHTHALMIA, MICROCORNEA, ANTERIOR SEGMENT DYSGENESIS, CATARACT, OCULAR COLOBOMA, RETINAL PIGMENT EPITHELIUM ABNORMALITIES, ROD-CONE DYSTROPHY, AND ANOMALIES OF THE EXTERNAL EAR|OCACS|SCHORDERET-MUNIER-FRANCESCHETTI SYNDROME",Congenital abnormality|Eye disease
Chromosome 15q26-Qter Deletion Syndrome,MESH:C567232,DO:DOID:0060397,,MESH:D000015|MESH:D006130|MESH:D008607|MESH:D008831,C05.660.207.620/C567232|C10.500.507.400.500/C567232|C10.597.606.643/C567232|C16.131.077/C567232|C16.131.621.207.620/C567232|C16.131.666.507.400.500/C567232|C23.550.393/C567232|C23.888.592.604.646/C567232|F03.625.539/C567232,C05.660.207.620|C10.500.507.400.500|C10.597.606.643|C16.131.077|C16.131.621.207.620|C16.131.666.507.400.500|C23.550.393|C23.888.592.604.646|F03.625.539,Drayer Syndrome,Congenital abnormality|Mental disorder|Musculoskeletal disease|Nervous system disease|Pathology (process)|Signs and symptoms
Carotid Artery Injuries,MESH:D020212,,"Damages to the CAROTID ARTERIES caused either by blunt force or penetrating trauma, such as CRANIOCEREBRAL TRAUMA; THORACIC INJURIES; and NECK INJURIES. Damaged carotid arteries can lead to CAROTID ARTERY THROMBOSIS; CAROTID-CAVERNOUS SINUS FISTULA; pseudoaneurysm formation; and INTERNAL CAROTID ARTERY DISSECTION. (From Am J Forensic Med Pathol 1997, 18:251; J Trauma 1994, 37:473)",MESH:D002340|MESH:D020214,C10.228.140.300.200.345|C10.228.140.300.350.500|C10.900.250.300|C14.907.253.123.345|C14.907.253.535.500|C26.915.200.200,C10.228.140.300.200|C10.228.140.300.350|C10.900.250|C14.907.253.123|C14.907.253.535|C26.915.200,"Artery Injuries, Carotid|Artery Injury, Carotid|Artery Trauma, Carotid|Carotid Arteriopathies, Traumatic|Carotid Arteriopathy, Traumatic|Carotid Artery Injury|Carotid Artery Trauma|Carotid False Aneurysm|Carotid False Aneurysms|Carotid Pseudoaneurysm|False Aneurysm, Carotid|Injuries, Carotid Artery|Injury, Carotid Artery|Pseudoaneurysm, Carotid|Trauma, Carotid Artery|Traumatic Carotid Arteriopathy",Cardiovascular disease|Nervous system disease|Wounds and injuries
Rectocele,MESH:D020047,,Herniation of the RECTUM into the VAGINA.,MESH:D006547|MESH:D012002,C06.405.469.860.810|C23.300.707.984,C06.405.469.860|C23.300.707,Proctocele|Proctoceles|Rectoceles,Digestive system disease|Pathology (anatomical condition)
"Alport syndrome, dominant type",MESH:C536586,OMIM:104200,,MESH:D009394,C12.706.742/C536586|C12.777.419.570.620/C536586|C13.351.875.742/C536586|C13.351.968.419.570.620/C536586|C16.131.939.742/C536586|C17.300.200.517/C536586,C12.706.742|C12.777.419.570.620|C13.351.875.742|C13.351.968.419.570.620|C16.131.939.742|C17.300.200.517,"ALPORT SYNDROME, AUTOSOMAL DOMINANT|Renal failure, and sensorineural hearing loss",Congenital abnormality|Connective tissue disease|Urogenital disease (female)|Urogenital disease (male)
Hypobetalipoproteinemias,MESH:D006995,DO:DOID:1390,"Conditions with abnormally low levels of BETA-LIPOPROTEINS (low density lipoproteins or LDL) in the blood. It is defined as LDL values equal to or less than the 5th percentile for the population. They include the autosomal dominant form involving mutation of the APOLIPOPROTEINS B gene, and the autosomal recessive form involving mutation of the microsomal triglyceride transfer protein. All are characterized by low LDL and dietary fat malabsorption.",MESH:D007009,C16.320.565.398.500.440|C18.452.584.500.875.440|C18.452.648.398.500.440,C16.320.565.398.500|C18.452.584.500.875|C18.452.648.398.500,Familial Hypobetalipoproteinemia|Hypobetalipoproteinemia|Hypo beta Lipoproteinemia|Hypo beta Lipoproteinemias,Genetic disease (inborn)|Metabolic disease
Bladder Exstrophy and Epispadias Complex,MESH:C564009,,,MESH:D001746|MESH:D004842,C12.706.132/C564009|C12.706.374/C564009|C12.777.767.374/C564009|C12.777.829.132/C564009|C13.351.875.132/C564009|C13.351.875.374/C564009|C13.351.968.767.374/C564009|C13.351.968.829.132/C564009|C16.131.939.132/C564009|C16.131.939.374/C564009,C12.706.132|C12.706.374|C12.777.767.374|C12.777.829.132|C13.351.875.132|C13.351.875.374|C13.351.968.767.374|C13.351.968.829.132|C16.131.939.132|C16.131.939.374,,Congenital abnormality|Urogenital disease (female)|Urogenital disease (male)
Chorea,MESH:D002819,OMIM:118700,"Involuntary, forcible, rapid, jerky movements that may be subtle or become confluent, markedly altering normal patterns of movement. Hypotonia and pendular reflexes are often associated. Conditions which feature recurrent or persistent episodes of chorea as a primary manifestation of disease are referred to as CHOREATIC DISORDERS. Chorea is also a frequent manifestation of BASAL GANGLIA DISEASES.",MESH:D020820,C10.228.662.262.249|C10.597.350.250|C23.888.592.350.250,C10.228.662.262|C10.597.350|C23.888.592.350,"BCH|Benign Hereditary Chorea|Benign Hereditary Choreas|BHC|Chorea, Benign Hereditary|Chorea, Chronic Progressive|Chorea Disorder|Chorea Disorders|Chorea, Hereditary|Chorea, Rheumatic|Choreas|Choreas, Benign Hereditary|Choreas, Chronic Progressive|Chorea, Senile|Choreas, Hereditary|Choreas, Rheumatic|Choreas, Senile|Choreas, Sydenham|Chorea, Sydenham|Chorea, Sydenham's|Chorea Syndrome|Chorea Syndromes|Choreatic Disorder|Choreatic Disorders|Choreatic Syndrome|Choreatic Syndromes|Choreic Movement|Choreic Movements|Choreiform Movement|Choreiform Movements|Chronic Progressive Chorea|Chronic Progressive Choreas|Disorder, Chorea|Disorder, Choreatic|Disorders, Chorea|Disorders, Choreatic|Dyskinesia, Paroxysmal|Dyskinesias, Paroxysmal|Hereditary Chorea|Hereditary Chorea, Benign|Hereditary Choreas|Hereditary Choreas, Benign|Hereditary Progressive Chorea Without Dementia|Movement, Choreic|Movement, Choreiform|Movements, Choreic|Movements, Choreiform|Paroxysmal Dyskinesia|Paroxysmal Dyskinesias|Progressive Chorea, Chronic|Progressive Choreas, Chronic|Rheumatic Chorea|Rheumatic Choreas|Senile Chorea|Senile Choreas|St. Vitus Dance|St. Vitus's Dance|St. Vituss Dance|St. Vitus's Dances|Sydenham Chorea|Sydenham Choreas|Sydenham's Chorea|Sydenhams Chorea|Syndrome, Chorea|Syndrome, Choreatic|Syndromes, Chorea|Syndromes, Choreatic",Nervous system disease|Signs and symptoms
Kallmann Syndrome 2 with Bimanual Synkinesia,MESH:C563652,,,MESH:D017436|MESH:D046608,C10.597.350.675/C563652|C12.706.316.096.750/C563652|C13.351.875.253.096.750/C563652|C16.131.939.316.096.750/C563652|C16.320.467/C563652|C19.391.119.096.750/C563652|C19.391.482.600/C563652|C23.888.592.350.675/C563652,C10.597.350.675|C12.706.316.096.750|C13.351.875.253.096.750|C16.131.939.316.096.750|C16.320.467|C19.391.119.096.750|C19.391.482.600|C23.888.592.350.675,,Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Nervous system disease|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)
Flatulence,MESH:D005414,,Production or presence of gas in the gastrointestinal tract which may be expelled through the anus.,MESH:D012817,C23.888.821.360,C23.888.821,Flatus,Signs and symptoms
Ataxia-Microcephaly-Cataract Syndrome,MESH:C563086,,,MESH:D001259|MESH:D002386|MESH:D008831|MESH:D015785,C05.660.207.620/C563086|C10.500.507.400.500/C563086|C10.597.350.090/C563086|C11.270/C563086|C11.510.245/C563086|C16.131.621.207.620/C563086|C16.131.666.507.400.500/C563086|C16.320.290/C563086|C23.888.592.350.090/C563086,C05.660.207.620|C10.500.507.400.500|C10.597.350.090|C11.270|C11.510.245|C16.131.621.207.620|C16.131.666.507.400.500|C16.320.290|C23.888.592.350.090,AMC Syndrome,Congenital abnormality|Eye disease|Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease|Signs and symptoms
